Rank,Brewing Company,City,State
1,"Anheuser-Busch, Inc (a)",Saint Louis,MO
2,MillerCoors (b),Chicago,IL
3,Pabst Brewing Co (c),Los Angeles,CA
4,"D. G. Yuengling & Son, Inc",Pottsville,PA
5,North American Breweries (d),Rochester,NY
6,Boston Beer Co (e),Boston,MA
7,Sierra Nevada Brewing Co,Chico,CA
8,New Belgium Brewing Co,Fort Collins,CO
9,Lagunitas Brewing Co (f),Petaluma,CA
10,Craft Brew Alliance (g),Portland,OR
11,Gambrinus (h),San Antonio,TX
12,Duvel Moortgat (i),Paso Robles/Kansas City/Cooperstown,CA/MO/NY
13,Ballast Point Brewing Co (j),San Diego,CA
14,"Bell’s Brewery, Inc (k)",Comstock,MI
15,Deschutes Brewery,Bend,OR
16,Founders Brewing Co (l),Grand Rapids,MI
17,Stone Brewing Co,Escondido,CA
18,Oskar Blues Brewing Holding Co (m),Longmont,CO
19,Sapporo USA (n),La Crosse,WI
20,Brooklyn Brewery,Brooklyn,NY
21,Minhas Craft Brewery (o),Monroe,WI
22,Artisanal Brewing Ventures (p),Downingtown/Lakewood,PA/NY
23,Dogfish Head Craft Brewery,Milton,DE
24,SweetWater Brewing Co,Atlanta,GA
25,New Glarus Brewing Co,New Glarus,WI
26,Matt Brewing Co (q),Utica,NY
27,Harpoon Brewery,Boston,MA
28,Alaskan Brewing Co,Juneau,AK
29,Abita Brewing Co,Abita Springs,LA
30,Great Lakes Brewing Co,Cleveland,OH
31,Anchor Brewing Co,San Francisco,CA
32,Stevens Point Brewery (r),Stevens Point,WI
33,August Schell Brewing Co (s),New Ulm,MN
33,Long Trail Brewing Co (t),Bridgewater Corners,VT
35,Summit Brewing Co,Saint Paul,MN
36,Odell Brewing Co,Fort Collins,CO
37,Shipyard Brewing Co (u),Portland,ME
38,Full Sail Brewing Co,Hood River,OR
39,Rogue Ales,Newport,OR
40,21st Amendment Brewery,Bay Area,CA
41,Flying Dog Brewery,Frederick,MD
42,Ninkasi Brewing Co,Eugene,OR
43,Gordon Biersch Brewing Co,San Jose,CA
44,Allagash Brewing Co,Portland,ME
45,Narragansett Brewing Co,Providence,RI
46,Green Flash Brewing Co (v),San Diego,CA
47,Tröegs Brewing Co,Hershey,PA
48,Uinta Brewing Co,Salt Lake City,UT
49,Bear Republic Brewing Co,Cloverdale,CA
50,Pittsburgh Brewing Co (w),Pittsburgh,PA
